From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
6201;185;sea;1885;-1;-1;-1;-1;;West Estonian Archipelago
19968;19973;sea;8515;-1;-1;-1;-1;;Tahiti Islands
19979;19973;sea;8563;-1;-1;-1;-1;;Tahiti Islands
19979;19962;sea;8563;-1;-1;-1;-1;;Tahiti Islands
19982;19962;sea;8690;-1;-1;-1;-1;;Tahiti Islands
19954;19962;sea;8690;-1;-1;-1;-1;;Tahiti Islands
19954;19953;sea;5737;-1;-1;-1;-1;;Tahiti Islands
19972;19953;sea;2306;-1;-1;-1;-1;;Tahiti Islands
19962;19973;sea;8563;-1;-1;-1;-1;;Tahiti Islands
12148;19972;sea;2253;-1;-1;-1;-1;;Tahiti Islands
19944;19943;sea;5247;-1;-1;-1;-1;;Random madagascar islands
19983;19985;sea;8259;-1;-1;-1;-1;;phoenix islands
13080;13050;sea;8137;-1;-1;-1;-1;;american samoa
19969;19960;sea;9087;-1;-1;-1;-1;;cook islands
19952;19959;sea;2429;-1;-1;-1;-1;;marquesas islands
19967;19981;sea;1487;-1;-1;-1;-1;;fiji islands
19938;824;sea;16570;-1;-1;-1;-1;;southern nzl islands
19941;824;sea;16570;-1;-1;-1;-1;;southern nzl islands
19940;16385;sea;16517;-1;-1;-1;-1;;southern nzl islands
13025;19966;sea;8568;-1;-1;-1;-1;;Iwo Jima Islands
19948;19949;sea;8627;-1;-1;-1;-1;;Amsterdam Islands
19976;19964;sea;2427;-1;-1;-1;-1;;Cook Islands
16826;16825;sea;2604;-1;-1;-1;-1;;Svalbard
16459;17755;sea;16761;-1;-1;-1;-1;;Antarctic Peninsula Islands
16459;17594;sea;16741;-1;-1;-1;-1;;Antarctic Peninsula Islands
17632;16453;sea;16595;-1;-1;-1;-1;;Antarctic Peninsula Islands
17715;17700;sea;16748;-1;-1;-1;-1;;Antarctic Peninsula Islands
17653;17700;sea;16748;-1;-1;-1;-1;;Antarctic Peninsula Islands
17715;17735;sea;16748;-1;-1;-1;-1;;Antarctic Peninsula Islands
17809;17566;sea;16795;-1;-1;-1;-1;;Antarctic Peninsula Islands
17677;17566;sea;16795;-1;-1;-1;-1;;Antarctic Peninsula Islands
17639;17677;sea;16795;-1;-1;-1;-1;;Antarctic Peninsula Islands
17639;17666;sea;16795;-1;-1;-1;-1;;Antarctic Peninsula Islands
17643;17666;sea;16799;-1;-1;-1;-1;;Antarctic Peninsula Islands
17643;17598;sea;16799;-1;-1;-1;-1;;Antarctic Peninsula Islands
17732;17598;sea;16799;-1;-1;-1;-1;;Antarctic Peninsula Islands
17639;17561;sea;16791;-1;-1;-1;-1;;Antarctic Peninsula Islands
17689;17588;sea;16770;-1;-1;-1;-1;;Antarctic Peninsula Islands
17585;17588;sea;16660;-1;-1;-1;-1;;Antarctic Peninsula Islands
17734;17591;sea;16660;-1;-1;-1;-1;;Antarctic Peninsula Islands
17730;17591;sea;16660;-1;-1;-1;-1;;Antarctic Peninsula Islands
17730;17585;sea;16660;-1;-1;-1;-1;;Antarctic Peninsula Islands
17724;17811;sea;16768;-1;-1;-1;-1;;Antarctic Peninsula Islands
17724;17766;sea;16768;-1;-1;-1;-1;;Antarctic Peninsula Islands
17766;16410;sea;16723;-1;-1;-1;-1;;Antarctic Peninsula Islands
17766;17660;sea;16723;-1;-1;-1;-1;;Antarctic Peninsula Islands
17660;17689;sea;16770;-1;-1;-1;-1;;Antarctic Peninsula Islands
9388;13257;sea;2358;-1;-1;-1;-1;;ruegen to pomerania
13315;761;sea;9092;-1;-1;-1;-1;;canadian arctic archipelago
13314;13196;sea;8768;-1;-1;-1;-1;;canadian arctic archipelago
1712;17261;sea;8978;-1;-1;-1;-1;;canadian arctic archipelago
3691;17251;sea;5953;-1;-1;-1;-1;;canadian arctic archipelago
16862;17212;sea;17001;-1;-1;-1;-1;;canadian arctic archipelago
16853;17212;sea;16997;-1;-1;-1;-1;;canadian arctic archipelago
16865;17212;sea;16923;-1;-1;-1;-1;;canadian arctic archipelago
10534;13293;sea;8642;-1;-1;-1;-1;;anticosti
12960;13292;sea;5854;-1;-1;-1;-1;;falklands
198;11047;sea;17101;-1;-1;-1;-1;;severny island to mainland
15745;12477;sea;5735;-1;-1;-1;-1;;cayman to jamaica
13270;11064;sea;3195;-1;-1;-1;-1;;orkney
7567;12910;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
6550;8435;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
3314;6336;sea;2752;-1;-1;-1;-1;;Afsluitdijk
6066;9228;sea;990;-1;-1;-1;-1;;Aland
13202;17247;sea;2970;-1;-1;-1;-1;;Alaska
13203;17241;sea;2970;-1;-1;-1;-1;;Alaska
17241;17248;sea;2970;-1;-1;-1;-1;;Alaska
17242;17248;sea;2970;-1;-1;-1;-1;;Alaska
17241;17245;sea;2970;-1;-1;-1;-1;;Alaska
17247;17248;sea;2970;-1;-1;-1;-1;;Alaska
13202;17248;sea;2970;-1;-1;-1;-1;;Alaska
10321;12251;sea;8313;-1;-1;-1;-1;;Andaman
2134;13084;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
4450;19993;sea;2887;-1;-1;-1;-1;;Antigua-Montserrat
4450;19994;sea;2887;-1;-1;-1;-1;;Antigua-Saint Martin
153;19991;sea;2571;-1;-1;-1;-1;;Aruba-Curacao
153;17369;sea;2571;-1;-1;-1;-1;;Aruba-Zulia
1513;7245;sea;5674;-1;-1;-1;-1;;Bahamas
4647;10254;sea;7910;-1;-1;-1;-1;;Bahamas
10440;19987;sea;7230;-1;-1;-1;-1;;Bahamas
4647;7245;sea;7910;-1;-1;-1;-1;;Bahamas
1513;19987;sea;5674;-1;-1;-1;-1;;Bahamas
11047;16821;sea;17101;-1;-1;-1;-1;;Barents-Strait
12162;12219;sea;2291;-1;-1;-1;-1;;Bima-Sumba
12118;14725;sea;8751;-1;-1;-1;-1;;Bohol-Cebu
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;8699;-1;-1;-1;-1;;Carolines 2
13032;13033;sea;7918;-1;-1;-1;-1;;Carolines 3
13035;13036;sea;2339;-1;-1;-1;-1;;Carolines 8
10288;12246;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
13072;20000;sea;2605;-1;-1;-1;-1;;Comoros
19998;19999;sea;2605;-1;-1;-1;-1;;Comoros
19999;20000;sea;2605;-1;-1;-1;-1;;Comoros
19990;19991;sea;2571;-1;-1;-1;-1;;Curacao-Bonaire
83;6201;sea;1660;-1;-1;-1;-1;;Dagö-Estonia
7003;9941;sea;7226;-1;-1;-1;-1;;Dodecanes1-Strait
10007;10122;sea;7002;-1;-1;-1;-1;;Dodecanes3-Strait
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
83;185;sea;1885;-1;-1;-1;-1;;Estonia-Ösel
4286;12159;sea;8341;-1;-1;-1;-1;;Fiji-Sanua Levu
16816;16818;sea;17036;-1;-1;-1;-1;;Franz Josef Land
16817;16818;sea;17036;-1;-1;-1;-1;;Franz Josef Land
13056;13057;sea;8523;-1;-1;-1;-1;;Funafuti-Nukulaelae
3277;3325;sea;2408;-1;-1;-1;-1;;Fyn-Jylland
3325;11251;sea;2408;-1;-1;-1;-1;;Fyn-SdrJylland
13021;13022;sea;8316;-1;-1;-1;-1;;Gilbert Islands
379;11106;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
4450;9377;sea;2887;-1;-1;-1;-1;;Guadeloupe-Antigua
9377;19993;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
1070;4160;sea;5244;-1;-1;-1;-1;;Hainan-Strait
13052;20001;sea;5261;-1;-1;-1;-1;;Hawaii
19996;20001;sea;5932;-1;-1;-1;-1;;Hawaii
